,Cash,Portfolio Value,Units
0,2000.0,1000.0,-3.4796527306574805
1,2000.0,1000.0347965273065,-3.4796527306574805
2,2000.0,1000.0347965273065,-3.4796527306574805
3,0.0,999.5789620195906,3.476723831918606
4,1998.914553370947,999.4572766854735,-3.476723831918606
5,1998.914553370947,999.7076008013717,-3.476723831918606
6,0.0,999.4016491041627,3.4763368399411543
7,1998.5460492821694,999.2730246410847,-3.4763368399411543
8,1998.5460492821694,999.0609680938483,-3.4763368399411543
9,1998.5460492821694,999.0470627464885,-3.4763368399411543
10,1998.5460492821694,998.7446214414134,-3.4763368399411543
11,1998.5460492821694,998.4352274626589,-3.4763368399411543
12,1998.5460492821694,998.7480977782535,-3.4763368399411543
13,1998.5460492821694,998.7063817361742,-3.4763368399411543
14,1998.5460492821694,998.845435209772,-3.4763368399411543
15,1998.5460492821694,998.7341924308937,-3.4763368399411543
16,0.0,998.4247984521389,3.4704401150254744
17,1997.3354585203813,998.6677292601906,-3.4704401150254744
18,1997.3354585203813,998.4525619730592,-3.4704401150254744
19,1997.3354585203813,998.6920223409958,-3.4704401150254744
20,1997.3354585203813,998.844721706057,-3.4704401150254744
21,1997.3354585203813,998.7822537839866,-3.4704401150254744
22,1997.3354585203813,998.5046185747846,-3.4704401150254744
23,1997.3354585203813,998.6191430985803,-3.4704401150254744
24,1997.3354585203813,998.4629732934043,-3.4704401150254744
25,1997.3354585203813,998.6573179398456,-3.4704401150254744
26,1997.3354585203813,999.0390663524985,-3.4704401150254744
27,1997.3354585203813,999.0841820739937,-3.4704401150254744
28,1997.3354585203813,999.2229996785945,-3.4704401150254744
29,1997.3354585203813,999.3618172831957,-3.4704401150254744
30,1997.3354585203813,999.5943367709024,-3.4704401150254744
31,1997.3354585203813,1000.1843115904568,-3.4704401150254744
32,0.0,1000.2814839136773,3.481674088366744
33,2000.8554284507773,1000.4277142253886,-3.481674088366744
34,0.0,999.9959866384313,3.4786704003563265
35,0.0,1000.2673229296593,3.4786704003563265
36,0.0,1000.5003938464831,3.4786704003563265
37,0.0,1000.5143085280846,3.4786704003563265
38,0.0,1000.5734459248904,3.4786704003563265
39,0.0,1000.743900774508,3.4786704003563265
40,0.0,1000.6812847073018,3.4786704003563265
41,0.0,1000.86217556812,3.4786704003563265
42,2000.7224940609376,1000.3612470304688,-3.4786704003563265
43,2000.7224940609376,1000.9734930209315,-3.4786704003563265
44,0.0,1000.7125927409047,3.4811148079998357
45,0.0,1000.9284218590008,3.4811148079998357
46,0.0,1000.9736763515049,3.4811148079998357
47,2001.1258096083216,1000.5629048041608,-3.4811148079998357
48,0.0,999.9049741054488,3.476539728823075
49,1999.5944027477105,999.7972013738553,-3.476539728823075
50,1999.5944027477105,999.5677497517531,-3.476539728823075
51,1999.5944027477105,999.8180606122284,-3.476539728823075
52,1999.5944027477105,999.9084506451776,-3.476539728823075
53,0.0,999.7381001984653,3.4761287345957257
54,1999.114683008533,999.5573415042664,-3.4761287345957257
55,0.0,999.3557260376599,3.4747267140148184
56,1998.8226433301681,999.4113216650841,-3.4747267140148184
57,1998.8226433301681,999.4808161993643,-3.4747267140148184
58,1998.8226433301681,999.5051392863625,-3.4747267140148184
59,0.0,999.3522513109458,3.4743159898169442
60,0.0,999.3765715228745,3.4743159898169442
61,1999.1839582284865,999.5919791142433,-3.4743159898169442
62,1999.1839582284865,999.446057842671,-3.4743159898169442
63,1999.1839582284865,1000.015845665001,-3.4743159898169442
64,0.0,999.8629757614491,3.4762003252829117
65,1999.4965223014296,999.7482611507148,-3.4762003252829117
66,1999.4965223014296,1000.1375955871465,-3.4762003252829117
67,1999.4965223014296,1000.0541667793398,-3.4762003252829117
68,1999.4965223014296,1000.3531200073139,-3.4762003252829117
69,0.0,1000.3565962076393,3.4804333550468796
70,0.0,1000.7324830099843,3.4804333550468796
71,0.0,1000.8786612108962,3.4804333550468796
72,2000.2189708788621,1000.1094854394311,-3.4804333550468796
73,2000.2189708788621,1000.1930158399524,-3.4804333550468796
74,0.0,999.9667876718744,3.4794403053375498
75,0.0,1000.0398559182864,3.4794403053375498
76,0.0,999.9667876718744,3.4794403053375498
77,0.0,999.9459110300425,3.4794403053375498
78,1999.2933583275667,999.6466791637833,-3.4794403053375498
79,0.0,999.7093090892793,3.4798763208727257
80,0.0,1000.1547332583509,3.4798763208727257
81,1999.8640423476302,999.9320211738151,-3.4798763208727257
82,0.0,999.7475877288089,3.4785928591816595
83,0.0,999.8206381788517,3.4785928591816595
84,0.0,999.9284745574864,3.4785928591816595
85,1999.7804200720707,999.8902100360353,-3.4785928591816595
86,1999.7804200720707,1000.2137191719391,-3.4785928591816595
87,0.0,1000.1580616861921,3.480457056855389
88,0.0,999.9179101492691,3.480457056855389
89,0.0,999.9770779192356,3.480457056855389
90,0.0,1000.0292847750884,3.480457056855389
91,0.0,1000.0780111738844,3.480457056855389
92,1999.9611167525848,999.9805583762924,-3.480457056855389
93,0.0,1000.2485535696702,3.482323084744497
94,0.0,1000.2694475081788,3.482323084744497
95,2000.3996020929676,1000.1998010464838,-3.482323084744497
96,0.0,1000.2764121543481,3.4828565882811566
97,0.0,1000.4958321194098,3.4828565882811566
98,0.0,1000.6734578054123,3.4828565882811566
99,0.0,1000.8650149177678,3.4828565882811566
100,2001.5140927270618,1000.7570463635309,-3.4828565882811566
101,2001.5140927270618,1001.1053320223589,-3.4828565882811566
102,2001.5140927270618,1001.1297120184769,-3.4828565882811566
103,0.0,1001.3560976967152,3.4870287488655176
104,0.0,1001.596702680387,3.4870287488655176
105,0.0,1001.7640800603325,3.4870287488655176
106,0.0,1001.907048239036,3.4870287488655176
107,2003.6118488106379,1001.8059244053189,-3.4870287488655176
108,0.0,1001.68039137036,3.4861549619441
109,2003.305004261329,1001.6525021306645,-3.4861549619441
110,0.0,1001.5060836222627,3.485135919900693
111,0.0,1001.6768552823378,3.485135919900693
112,0.0,1001.8371715346532,3.485135919900693
113,0.0,1001.8859634375318,3.485135919900693
114,2003.730105244025,1001.8650526220125,-3.485135919900693
115,2003.730105244025,1002.1543189033644,-3.485135919900693
116,0.0,1002.0881013208863,3.4866880813102332
117,0.0,1002.1927019633257,3.4866880813102332
118,0.0,1002.4716370098304,3.4866880813102332
119,2004.6155253400175,1002.3077626700087,-3.4866880813102332
120,0.0,1002.2519756607077,3.4862999748183636
121,2004.4272527219691,1002.2136263609846,-3.4862999748183636
122,2004.4272527219691,1003.4442902520952,-3.4862999748183636
123,0.0,1004.6679815432567,3.5034173322799504
124,2010.9615487286915,1005.4807743643457,-3.5034173322799504
125,0.0,1006.461731217384,3.510259944257059
126,0.0,1005.4402455736052,3.510259944257059
127,0.0,1005.6157585708181,3.510259944257059
128,2011.3017223405213,1005.6508611702607,-3.510259944257059
129,2011.3017223405213,1006.0861334033486,-3.510259944257059
130,0.0,1006.2405848408961,3.51437926257905
131,0.0,1005.2741305436869,3.51437926257905
132,0.0,1005.2214148547482,3.51437926257905
133,0.0,1005.4990508164921,3.51437926257905
134,0.0,1005.5166227128049,3.51437926257905
135,0.0,1005.9488913621021,3.51437926257905
136,0.0,1005.5095939542797,3.51437926257905
137,0.0,1004.6872292068363,3.51437926257905
138,0.0,1004.7469736543,3.51437926257905
139,0.0,1005.0035233404683,3.51437926257905
140,0.0,1005.1616704072844,3.51437926257905
141,0.0,1005.4252488519778,3.51437926257905
142,2009.887557786009,1004.9437788930045,-3.51437926257905
143,0.0,1004.4658233132939,3.5110379439658215
144,0.0,1005.062699763768,3.5110379439658215
145,2009.858560643795,1004.9292803218975,-3.5110379439658215
146,2009.858560643795,1004.9152361701218,-3.5110379439658215
147,2009.858560643795,1005.196119205639,-3.5110379439658215
148,0.0,1005.2452737368545,3.5132466841535477
149,0.0,1006.1657443681028,3.5132466841535477
150,2013.0833235266148,1006.5416617633074,-3.5132466841535477
151,2013.0833235266148,1007.2934965537163,-3.5132466841535477
